message_data
"""Tell me more about your business?"""
"""\u0986\u09aa\u09a8\u09be\u09a6\u09c7\u09b0 \u09ae\u09c2\u09b2 \u0995\u09be\u099c \u0995\u09bf"""
"""How can we get more pics"""
"""Now I have no work so\nPlease give me some interior electric and lighting work"""
"""Online Interior Design Consultation"""
"""can  l learn.  more. about  your.  business?"""
"""Mani eshe dekhbe na j, flat ta kotoktuku ki ki krbe"""
"""accha thik ache\ud83d\udc97"""
""""""
"""Online Interior Design Consultation"""
""""""
"""Commercial Design Consultation"""
"""hello there"""
"""Let me know about your offer for 7000tk."""
"""hellow.."""
"""Commercial Design Consultation"""
"""Commercial Design Consultation"""
""""""
"""Thanks"""
"""\u09a1\u09bf\u099c\u09be\u0987\u09a8 \u0995\u09b0\u09be \u09a8\u09be\u0995\u09bf product sell"""
""""""
"""Amar rm shajabo kom budget e"""
"""How can I avail Online Interior Design Consultation?"""
"""Online Interior Design Consultation"""
"""How can I avail Online Interior Design Consultation?"""
"""Amar room e ki jani missing bolte partese na"""
"""Jante chai"""
"""What are your services?"""
"""What are your services?"""
"""What are your services?"""
"""How can I avail Online Interior Design Consultation?"""
"""Tell me more about your business?"""
""""""
"""Interior Design"""
"""What are your services?"""
"""old furniture colour kora jabe?"""
"""How can I avail Online Interior Design Consultation?"""
"""Tell me more about your business?"""
"""What are your services?"""
""""""
""""""
"""Can. I  learn. more  about. your"""
"""apnara ektu joldi contract krle khushi hbo"""
"""Can I learn more about your business?"""
"""Is anyone available to chat?"""
"""Chair price"""
"""Hello apu. I want to design my office 600sq feet"""
"""Koto price porbe and all"""
"""Let me know\n01775012003"""
"""I need an asap appointment and asap design \nSo please call tomorrow and lets fix a meeting."""
"""Can you tell me more about your ad?"""
"""Apnader kono lok basay asbe na?"""
"""Pp"""
"""Can I learn more about your business?"""
"""Can you tell me more about your ad?"""
"""Is anyone available to chat?"""
"""Ok thanks"""
"""Ami amr room ta ki rkm vabe decorate krle shundor lagbe ta jante cai\n\nFurniture ami kinbo,  r apnara ki room ta ki rkm decorated krle shundor hbe ta amk janate parben?"""
"""Accha, ami aktu amr family members er sathe kotha bole apnak janabo\ud83d\udc95"""
"""hello"""
"""number :01746358610"""
"""I can say size and you can recommend the pricing idea based materials"""
"""120 sqft size shop"""
"""Already pre decorated"""
"""If you can renovated on this design or give a new design idea."""
""""""
"""It will be leather product shop.\n Contact number 01670854482"""
"""Can you tell me more about your ad?"""
""""""
"""Can you tell me more about your ad?"""
"""ami tkhn busy chilam to , tai kotha full bolte pari ni, ektu age call back korechilam , but keo recive kore ni"""
"""Can I learn more about your business?"""
"""so kindly bolben ,abr ektu contract krte\ud83c\udf38"""
"""contact *"""
""""""
"""Do you work only design idea?"""
"""Can you please give me your pricing idea?"""
""""""
"""Pause questions"""
"""Hello"""
"""\u0995\u09c7\u09ae\u09a8 \u0986\u099b\u09c7\u09a8 \u09aa\u09cd\u09b0\u09bf\u09df \u09ad\u09be\u0987...???\ud83d\ude4f\ud83d\udc9e"""
"""\u09e7 \u09b9\u09be\u099c\u09be\u09b0 \u09aa\u09c7\u099c \u09b2\u09be\u0987\u0995 \u0993 \u09ab\u09b2\u09cb\u09df\u09be\u09b0 \u09ae\u09be\u09a4\u09cd\u09b0 300 \u099f\u09be\u0995\u09be \ud83c\udf39\u2764\ufe0f"""
"""\u09b2\u09be\u0997\u09b2\u09c7 \u099c\u09be\u09a8\u09be\u09ac\u09c7\u09a8 \u09ad\u09be\u0987\ud83e\udd40\n\u09a7\u09a8\u09cd\u09af\u09ac\u09be\u09a6 \ud83d\ude4f\n\u09ad\u09be\u09b2\u09cb\u09ac\u09be\u09b8\u09be \u09a8\u09bf\u09ac\u09c7\u09a8 \ud83d\udc9f"""
"""Hi"""
""""""
"""01624898255"""
"""What are your services?"""
"""Hello"""
"""I am interested"""
"""01791773702"""
"""Jiiii"""
""""""
"""What are your services?"""
"""http://kx8n90.cyou/c6ecAQhZBHNIR0IEfH5VVlAtCVZtQylDVlt9RwIYHAYlXQstDCIIRDwlAkE7DQ5lNBAiEwosSSQOVis6UBcVTRA-&p=ljntms1672737474216"""
"""\ufffdAssalamualikum vaiya/ apu\nPage, post a like / follow  lagbe real like follow sell dai"""
""""""
""""""
""""""
"""How"""
"""Is anyone available to chat?"""
"""Is anyone available to chat?"""
"""Interior kortam"""
"""Hi"""
"""Online Interior Design Consultation"""
"""Assalamu'Alaikum A new range of plywood product available for furniture; melamine plywood."""
"""room"""
"""Kintu amr room ta thik kmn korle valo hoy"""
"""Apnader office ki bogurai asa??"""
"""Ok"""
"""Price"""
"""Can I learn more about your business?"""
""""""
